Rank	University	Score	Country
358	Jagiellonian University	60.644	Poland
359	Northwestern Polytechnical University	60.624	China
360	Ewha Womans University	60.249	Republic of Korea
361	Massey University	59.991	New Zealand
362	South China University of Technology	59.981	China
363	University of Warsaw	59.792	Poland
364	Keio University	59.663	Japan
365	George Mason University	59.605	USA
366	Dalian University of Technology	59.579	China
367	West Virginia University	59.513	USA
368	University of Tromso	59.444	Norway
369	Universite Cote d`Azur (ComUE)	59.318	France
370	Polytechnic University of Milan	59.275	Italy
371	University of Nova de Lisboa	59.25	Portugal
372	Kazan Federal University	59.233	Russia
373	University of Bremen	59.195	Germany
374	University of KwaZulu Natal	59.192	South Africa
375	Tomsk Polytechnic University	59.17	Russia
376	University of South Australia	59.168	Australia
377	University of Debrecen	59.065	Hungary
378	Polytechnic University of Catalonia	59.062	Spain
379	Kanazawa University	58.983	Japan
380	Aberystwyth University	58.438	UK
381	University of St. Gallen	58.378	Switzerland
382	National Taiwan Normal University	58.367	Taiwan
383	University of Houston	58.357	USA
384	Peter the Great St. Petersburg Polytechnic University	58.326	Russia
385	Hong Kong Baptist University	58.259	Hong Kong
386	King Saud University	58.146	Saudi Arabia
387	Bogazici University	58.013	Turkey
388	Hacettepe University	57.988	Turkey
389	University of Sherbrooke	57.962	Canada
390	Iran University of Science & Technology	57.885	Iran
391	Konkuk University	57.874	Republic of Korea
392	University of Oregon	57.838	USA
393	Swansea University	57.681	UK
394	Chiba University	57.665	Japan
395	Xiamen University	57.657	China
396	Sabanci University	57.636	Turkey
397	Victoria University of Wellington	57.512	New Zealand
398	University of Pretoria	57.442	South Africa
399	University of Idaho	57.378	USA
400	Deakin University	57.321	Australia
401	RUDN University	57.312	Russia
402	University of Hannover	57.299	Germany
403	Keele University	57.289	UK
404	Comenius University in Bratislava	57.254	Slovakia
405	Polytechnic University of Valencia	57.229	Spain
406	Chang Gung University	57.224	Taiwan
407	National Central University	57.17	Taiwan
408	Osaka City University	57.084	Japan
409	Jilin University	57.077	China
410	University of Stirling	57.055	UK
411	National Sun Yat-Sen University	57.032	Taiwan
412	State University of New York, Albany	56.936	USA
413	Bauman Moscow State Technical University	56.675	Russia
414	Mahidol University	56.64	Thailand
415	Polytechnic University of Turin	56.552	Italy
416	University of Szeged	56.548	Hungary
417	Juntendo University	56.49	Japan
418	Aston University	56.322	UK
419	University of Western Sydney	56.293	Australia
420	Swinburne University of Technology	55.953	Australia
421	University of Plymouth	55.852	UK
422	The New School	55.844	USA
